ticker,fund_name,current_map,expected,status,confidence
IAUG US,INNOVATOR INTERNATIONAL DEVELOPED POWER BUFFER ETF - AUGUST,Buffer,Buffer,OK,HIGH
IBUF US,INNOVATOR INTERNATIONAL DEVELOPED 10 BUFFER ETF - QUARTERLY,Buffer,Buffer,OK,HIGH
IDEC US,INNOVATOR INTERNATIONAL DEVELOPED POWER BUFFER ETF - DECEMBER,Buffer,Buffer,OK,HIGH
IFEB US,INNOVATOR INTERNATIONAL DEVELOPED POWER BUFFER ETF - FEBRUARY,Buffer,Buffer,OK,HIGH
IFLR US,INNOVATOR INTERNATIONAL DEVELOPED MANAGED FLOOR ETF,Floor,Floor,OK,HIGH
IJAN US,INNOVATOR INTERNATIONAL DEVELOPED POWER BUFFER ETF - JANUARY,Buffer,Buffer,OK,HIGH
IJUL US,INNOVATOR INTERNATIONAL DEVELOPED POWER BUFFER ETF - JULY,Buffer,Buffer,OK,HIGH
IJUN US,INNOVATOR INTERNATIONAL DEVELOPED POWER BUFFER ETF - JUNE,Buffer,Buffer,OK,HIGH
IMAR US,INNOVATOR INTERNATIONAL DEVELOPED POWER BUFFER ETF - MARCH,Buffer,Buffer,OK,HIGH
IMAY US,INNOVATOR INTERNATIONAL DEVELOPED POWER BUFFER ETF - MAY,Buffer,Buffer,OK,HIGH
INOV US,INNOVATOR INTERNATIONAL DEVELOPED POWER BUFFER ETF - NOVEMBER,Buffer,Buffer,OK,HIGH
IOCT US,INNOVATOR INTERNATIONAL DEVELOPED POWER BUFFER ETF - OCTOBER,Buffer,Buffer,OK,HIGH
ISEP US,INNOVATOR INTERNATIONAL DEVELOPED POWER BUFFER ETF-SEPTEMBER,Buffer,Buffer,OK,HIGH
IVVB US,ISHARES LARGE CAP DEEP QUARTERLY LADDERED ETF,Ladder,Ladder,OK,HIGH
IVVM US,ISHARES LARGE CAP MODERATE QUARTERLY LADDERED ETF,Ladder,Ladder,OK,HIGH
JAJL US,INNOVATOR EQUITY DEFINED PROTECTION ETF - 6 MO JAN/JUL,Buffer,,UNCLEAR,LOW
JANB US,APTUS JANUARY BUFFER ETF,Buffer,Buffer,OK,HIGH
JANH US,INNOVATOR PREMIUM INCOME 20 BARRIER ETF - JANUARY,Barrier,Barrier,OK,HIGH
JANI US,ALLIANZIM INTERNATIONAL EQUITY BUFFER15 UNCAPPED JAN ETF,Buffer,Buffer,OK,HIGH
JANJ US,INNOVATOR PREMIUM INCOME 30 BARRIER ETF - JANUARY,Barrier,Barrier,OK,HIGH
JANM US,FT VEST US EQUITY MAX BUFFER ETF - JANUARY,Buffer,Buffer,OK,HIGH
JANP US,PGIM S&P 500 BUFFER 12 ETF - JANUARY,Buffer,Buffer,OK,HIGH
JANT US,ALLIANZIM US EQUITY BUFFER10 JAN ETF,Buffer,Buffer,OK,HIGH
JANU US,ALLIANZIM US EQUITY BUFFER15 UNCAPPED JAN ETF,Buffer,Buffer,OK,HIGH
JANW US,ALLIANZIM US EQ BUFFER20 JAN,Buffer,Buffer,OK,HIGH
