ticker,map_cc_underlier,map_cc_index,cc_type,cc_category
HAKY US,,HACK US,Traditional,Tech
NDIV US,,NDIVITR,Traditional,Energy
ANV US,NVDA US,Autocall,Synthetic,Autocallable
TLA US,TSLA US,Autocall,Synthetic,Autocallable
XSPI US,,SPX,Traditional,Broad Beta
ATCL US,,Autocall,Synthetic,Autocallable
FEPI LN,,Basket,Traditional,Tech
FEGI LN,,Basket,Traditional,Tech
CEGI LN,,Basket,Traditional,Crypto
MSST US,MSTR US,,Synthetic,Single Stock
NVIT US,NVDA US,,Synthetic,Single Stock
TEST US,TSLA US,,Synthetic,Single Stock
ISBG US,,Basket,Synthetic,Crypto
ISSB US,,Basket,Synthetic,Crypto
KYLD US,,Basket,Traditional,Broad Beta
MEMY US,,Basket,Synthetic,Single Stock
NLSI US,,Basket,Traditional,Specialty
OEI US,,Basket,Traditional,Broad Beta
PLGI US,,Basket,Traditional,Broad Beta
TPAY US,,SPX,Synthetic,Broad Beta
XQQI US,,NDX,Traditional,Tech
GLDN US,,GLD,Traditional,Commodity
KSLV US,,SLV,Traditional,Commodity
SLVX US,,SLV,Traditional,Commodity
NEHI US,,ETH,Synthetic,Crypto
XBCI US,,BTC,Traditional,Crypto
MAGO US,,Basket,Synthetic,Tech
USOI US,,QUSOI,Synthetic,Energy
SLVO US,,SLV,Synthetic,Commodity
GLDI US,,GLD,Synthetic,Commodity
BWVTF US,,SPX,Synthetic,Broad Beta
GIF US,,FOF,Synthetic,Single Stock
ACYN US,,Autocall,Synthetic,Autocallable
MINY US,,Basket,Traditional,Single Stock
ROCY US,,,Traditional,Broad Beta
ROCQ US,,,Traditional,Tech
FBDC US,,,Synthetic,Broad Beta
FYLG US,,BXLFH,Traditional,International
HYLG US,,BXLVH,Traditional,International
PQBW US,,BXN,Synthetic,Tech
QYLE US,,NQYLEI,Traditional,Tech
QDCC US,,BXQD,Traditional,Broad Beta
XYLE US,,BXESG,Traditional,Broad Beta
HVPW US,,,Synthetic,Broad Beta
EMCC US,,BXEMG,Traditional,International
HFIN US,,,Traditional,Broad Beta
DISY US,,,Traditional,Broad Beta
XOMY US,,,Traditional,Broad Beta
JPMY US,,,Traditional,Broad Beta
DDDD US,,,Synthetic,Broad Beta
NVDK US,NVDA,,Synthetic,Single Stock
TSLK US,TSLA,,Traditional,Single Stock
ODTE US,,,Traditional,Broad Beta
SBAR US,,Autocall,Synthetic,Autocallable
JELA US,,Autocall,Synthetic,Autocallable
JELM US,,Autocall,Synthetic,Autocallable
JELH US,,Autocall,Synthetic,Autocallable
ACYS US,,Autocall,Synthetic,Autocallable
CAGE US,,Autocall,Synthetic,Autocallable
